Recclass,Mass,Normalized,Final
L3.9-6,372,19.28730152,4.391731039
L3.9/4,402,20.04993766,4.477715674
L3.05,462,21.50116276,4.63693463
L3.10,404,20.09975124,4.483274612
L3/4,"1,263",35.53181673,5.960857046
L4,"1,921,294",1386.10737,37.23046293
L4-5,"222,108",471.2829087,21.70905131
L4-6,"2,325,194",1524.858698,39.04943916
L4-an,57,7.56306816,2.7501033
L4-melt rock,758,27.53361582,5.247248404
L4/5,"77,657",278.6697454,16.69340425
L5,"8,256,655",2873.439633,53.604474
L5-6,"362,558",602.1279681,24.53829595
L5-7,929,30.48606239,5.521418512
L5/6,"245,804",495.7858106,22.26624824
L6,"11,721,619",3423.684976,58.51226347
L6-melt breccia,"2,140",46.2644572,6.801798086
L6-melt rock,"22,000",148.3239697,12.17883286
L6/7,"52,698",229.5611465,15.15127541
L7,"13,889",117.853638,10.85604155
L-imp melt,"23,604",153.6363889,12.39501468
L-melt breccia,454,21.30727575,4.615980476
L-melt rock,"8,780",93.69994664,9.679873276
L-metal,5,2.264287968,1.504755119
L(?)3,20,4.52437841,2.127058629
L(H)3,66,8.105553652,2.847025404
L(LL)3,223,14.9231364,3.863047553
L(LL)3.5-3.7,"1,228",35.04425773,5.919819062
L(LL)3.05,983,31.35442552,5.599502257
L(LL)5,"1,056",32.49615362,5.700539766
L(LL)6,265,16.2788206,4.034702046
L(LL)~4,331,18.1934054,4.265372832
L/LL,12,3.435112807,1.853405732
L/LL3,"9,084",95.30813187,9.762588379
L/LL3-5,125,11.18033989,3.343701525
L/LL3-6,68,8.246211251,2.871621711
L/LL3.2,"3,216",56.71331413,7.530824267
L/LL3.4,"11,978",109.4445522,10.46157503
L/LL3.5,32,5.692099788,2.385812186
L/LL3.6/3.7,"2,618",51.16639522,7.153068937
L/LL3.10,287,16.94107435,4.115953638
L/LL4,"442,790",665.4244262,25.79582188
L/LL4-6,"3,650",60.41522987,7.772723452
L/LL4/5,789,28.09270368,5.300255058
L/LL5,"636,574",797.8556887,28.24633939
L/LL5-6,"3,287",57.33236433,7.571813807
L/LL5/6,"1,754",41.88078318,6.471536385
L/LL6,"315,850",562.0055872,23.70665702
L/LL6-an,"5,900",76.81145748,8.764214596
L/LL-melt rock,23,4.816637832,2.194683994
L/LL(?)3,2,1.414213562,1.189207115
L/LL~4,24,4.857983121,2.204083283
L/LL~5,631,25.11374126,5.011361218
L/LL~6,"2,103",45.8552069,6.771647281
L~3,363,19.0446843,4.364021574
L~4,"2,846",53.34604015,7.303837358
L~5,"25,605",160.015218,12.64971217
L~6,"50,900",225.6096629,15.02030835
LL,"23,165",152.2002628,12.33694706
LL3,"49,631",222.779337,14.92579435
LL3-4,383,19.57038579,4.423842876
LL3-5,227,15.07083276,3.882117046
LL3-6,"18,289",135.2357941,11.62909257
LL3.0,302,17.38476344,4.169503981
LL3.1,"8,435",91.84329045,9.583490515
LL3.1-3.5,80,8.949860334,2.991631718
LL3.2,"55,522",235.6314495,15.35029151
LL3.3,"8,003",89.46144421,9.458406008
LL3.4,"25,033",158.2196574,12.57853956
LL3.5,"6,638",81.4755178,9.026378997
LL3.6,"82,216",286.7328722,16.93318848
LL3.7,"55,937",236.509577,15.37886787
LL3.7-6,227,15.06007968,3.880731849
LL3.8,"9,817",99.0806742,9.953927577
LL3.8-6,"2,750",52.44044241,7.241577343
LL3.9,"25,391",159.3462896,12.62324402
LL3.9/4,19,4.312771731,2.07672139
LL3.00,691,26.28687886,5.127073128
LL3.10,"1,656",40.69643719,6.379375925
LL3.15,"1,161",34.07799877,5.837636402
LL3/4,"1,452",38.10511777,6.172934291
LL4,"202,616",450.128515,21.21623235
LL4-5,"1,947",44.12482295,6.642651801
LL4-6,"28,737",169.5184946,13.01992683
LL4/5,"3,705",60.86953261,7.801892886
LL4/6,35,5.916079783,2.432299279
LL5,"1,167,421",1080.472755,32.87054541
LL5-6,"33,015",181.6994772,13.47959484
LL5-7,87,9.348796714,3.057580206
LL5/6,"7,571",87.01206813,9.32802595
LL6,"1,323,886",1150.60263,33.92053405
LL6(?),294,17.13475999,4.139415417
LL6/7,"2,135",46.20606021,6.797503969
LL7,"3,437",58.62559168,7.656735054
LL7(?),8,2.828427125,1.681792831
LL-melt rock,"3,427",58.54400055,7.651405135
LL(L)3,"6,967",83.46795792,9.136080009
LL<3.5,200,14.14213562,3.760603093
LL~3,60,7.720103626,2.778507446
LL~4,29,5.357238094,2.314570823
LL~4/5,24,4.878524367,2.208738184
LL~5,483,21.97930845,4.688209514
LL~6,"2,026",45.01344244,6.709205798
Lodranite,"7,713",87.82374394,9.371432331
Lodranite-an,14,3.714835124,1.927390755
Lunar,"21,095",145.2405591,12.05157911
Lunar (anorth),"9,481",97.3728915,9.867770341
Lunar (bas. breccia),158,12.56980509,3.545392093
Lunar (bas/anor),11,3.342154993,1.828156173
Lunar (bas/gab brec),191,13.82750881,3.718535843
Lunar (basalt),"16,434",128.1941496,11.32228553
Lunar (feldsp. breccia),"8,241",90.77719978,9.527706953
Lunar (gabbro),681,26.09961686,5.108778411
Lunar (norite),633,25.15949125,5.015923768
Martian,9,3.049590136,1.746307572
Martian (chassignite),"4,611",67.90434449,8.240409243
Martian (nakhlite),"27,251",165.0793748,12.84832187
Martian (OPX),"1,931",43.94200724,6.62887677
Martian (shergottite),"77,520",278.4238226,16.68603676
Mesosiderite,"520,809",721.6711772,26.86393823
Mesosiderite-A,"12,470",111.6669154,10.56725676
Mesosiderite-A1,"4,189,238",2046.76281,45.24116278
Mesosiderite-A2,"14,847",121.8482663,11.03849022
Mesosiderite-A3,"92,000",303.3150178,17.41594148
Mesosiderite-A3/4,"320,000",565.6854249,23.7841423
Mesosiderite-A4,"57,500",239.7915762,15.48520507
Mesosiderite-an,"12,053",109.7857003,10.47786717
Mesosiderite-B,"9,031",95.0315737,9.748413907
Mesosiderite-B1,"5,298",72.7839268,8.531349647
Mesosiderite-B2,"59,134",243.1738678,15.59403308
Mesosiderite-B4,"1,078,000",1038.267788,32.222163
Mesosiderite-C,"243,907",493.8694159,22.22317295
Mesosiderite-C2,"51,226",226.3316151,15.04432169
Mesosiderite?,414,20.34698995,4.510763788
OC,"228,311",477.8192964,21.85907812
OC3,"7,526",86.75309793,9.314134309
Pallasite,"216,510",465.3060283,21.57095335
"Pallasite, PES","168,670",410.6945337,20.26559976
"Pallasite, PMG","5,596,453",2365.682354,48.63828075
"Pallasite, PMG-an","7,538,948",2745.714479,52.39956564
"Pallasite, ungrouped","36,554",191.1908209,13.8271769
Pallasite?,"14,180",119.0798052,10.91236937
R,199,14.10886246,3.756176575
R3,435,20.84706214,4.565858314
R3-4,171,13.07669683,3.616171571
R3-5,"2,507",50.06995107,7.076012371
R3-6,"1,947",44.11915684,6.642225293
R3.4,11,3.240370349,1.800102872
R3.5-6,205,14.31782106,3.783889674
R3.6,"2,071",45.51263561,6.74630533
R3.7,472,21.72556098,4.661068652
R3.8,"1,592",39.90137842,6.316753788
R3.8-5,174,13.19090596,3.631928683
R3.8-6,"1,066",32.65271811,5.714255692
R3.9,"12,223",110.557632,10.51463894
